Order ID,Date,Month,Year,Sales,Region,Product Category,Discount Applied,Payment Mode,Customer Name,Customer Email,City,Country
71598fed-eb27-42cf-b0d6-02053a636ec9,30-12-2023,October,2024,4223.02,West,Electronics,0.0,Debit Card,Mary Davis,evanseric@yahoo.com,Lesliemouth,USA
9d160a95-7437-4c9f-ba2b-d74f24e2a7dd,19-03-2024,March,2024,4734.77,North,Electronics,5.0,Credit Card,Isaiah Scott,laurenwilliams@gmail.com,South Rebecca,Australia
40f96e3d-ef97-4540-9335-72dd7d4058cd,07-06-2023,December,2024,2537.0940998641304,North,Electronics,20.0,Credit Card,Jessica Shelton,irodriguez@hotmail.com,Guerraside,USA
64b9fc37-edb4-43dd-8d8e-538a425ef00e,22-08-2023,May,2024,4196.53,South,Electronics,0.0,PayPal,Michele Goodman,ulawrence@yahoo.com,East Elizabeth,Canada
db916b49-3fd0-4904-b723-ccb76d082ae0,31-01-2025,December,2023,4263.3,North,Furniture,0.0,Debit Card,Elizabeth Powers,ingramjonathan@hotmail.com,Kevinbury,Australia
08d2af54-bd77-49b4-bcda-45f0be023ef5,06-01-2025,July,2024,4107.72,East,Groceries,10.0,Cash,Summer Nelson,johnpowell@hotmail.com,East Richardchester,Australia
c2e050ba-3a7a-4330-97dd-7c78bb96daf4,25-04-2024,June,2024,2901.94,West,Electronics,10.0,Debit Card,Ashley Allen,jnguyen@gutierrez-johnson.info,West Debbieport,UK
4e7f9451-62bc-4690-9229-e725d7f23b31,01-09-2023,February,2023,3530.53,East,Clothing,10.0,Cash,Darlene Buckley DDS,zamorajamie@gmail.com,East Richard,Canada
21ab5dda-d82a-4f4d-85f4-ed9c3c47f3c5,16-05-2024,November,2023,4413.75,South,Groceries,15.0,Credit Card,Jeremiah Carr,victor19@gmail.com,Port Thomas,USA
d1f2cd63-76fe-4f68-886c-52c6df16fa79,14-10-2024,April,2024,1470.53,South,Furniture,0.0,Cash,Mary Garcia,john02@brooks-simmons.com,Riceville,USA
55f359e6-62c7-41e2-b5cf-8725e6276dc9,29-03-2023,September,2024,2537.0940998641304,West,Furniture,20.0,Credit Card,Ann Moore,myersangela@wade-gallagher.info,Lake James,Australia
d97f993b-490b-4014-85cb-0027c25a5353,07-10-2024,March,2023,576.74,North,Groceries,15.0,Credit Card,Valerie Knight,sosborn@stevenson.com,Lake Michael,USA
3a7fc5c2-eacd-418b-a569-5f35a7c2508b,04-01-2024,July,2023,797.58,North,Electronics,0.0,Credit Card,Andrew Russell,icontreras@yahoo.com,Silvahaven,UK
2b208ca5-3c3c-46d1-919d-4afcbd24443f,12-11-2023,March,2023,2103.36,North,Groceries,15.0,PayPal,Michael Fernandez,zdaniels@collins.net,Port Lisamouth,Canada
29841d19-0cdb-4582-8a8a-82d515fa841e,27-04-2024,February,2023,2409.08,West,Clothing,20.0,Debit Card,Brittany Green,ivincent@hotmail.com,West Chrismouth,UK
b11a8b96-65c1-4355-932f-9996ed84d206,03-08-2024,May,2023,2076.67,South,Clothing,20.0,Debit Card,Bradley Webb,anthony38@gmail.com,Port Gary,UK
890db07d-64f6-4aff-a5b3-a50fd731b667,16-11-2024,May,2023,2326.82,West,Clothing,0.0,Debit Card,Thomas George,nmorales@hotmail.com,Lopezburgh,Canada
e86d220d-43a5-41d2-aef1-65ad6f02d071,25-04-2024,August,2024,909.59,North,Clothing,5.0,Debit Card,Jennifer Steele,xmoore@gmail.com,West Judithville,Australia
3261ada3-1f42-4d2c-9cc8-02137b36a0e8,11-02-2024,February,2023,4936.57,North,Electronics,15.0,Credit Card,Stephanie Wright,jaredvilla@hotmail.com,Zacharymouth,USA
9db147a7-ffea-4696-bb4c-2172fada5bd0,15-01-2025,July,2024,2447.78,South,Electronics,15.0,PayPal,Michael Booth,ronaldrich@hotmail.com,Joneshaven,UK
e53f7901-f72f-42f0-8eff-ca2f75890807,28-09-2023,August,2024,2153.38,West,Groceries,15.0,Cash,Katherine Myers,asanders@gmail.com,West Meganland,Australia
752d090e-7b29-40e7-85f6-a8b7cd8e197b,26-06-2024,October,2023,1530.21,West,Electronics,5.0,Cash,Emily Miller,martinezmorgan@gmail.com,East Monicaberg,UK
b748cf37-9a1a-4f6e-a054-c4b3094ae567,29-11-2023,April,2023,2045.67,East,Furniture,0.0,Credit Card,Robert Butler,denise46@gillespie-chapman.info,Mclaughlinmouth,USA
c5fa715c-5419-4792-919a-be2970b94bba,31-12-2023,March,2024,148.67,East,Groceries,5.0,Cash,Misty Andrews MD,aprilsutton@gmail.com,Kimberlymouth,USA
0d0702cb-7138-4f0c-a6b4-f299bd94253d,20-01-2025,May,2023,4018.68,South,Electronics,20.0,Credit Card,Ronald Melendez,qbrown@hotmail.com,Duketon,UK
db579e6c-77be-41ed-a29f-9c88e01a7118,15-03-2024,February,2023,4823.41,East,Electronics,10.0,PayPal,Jon Wilkins,michelle61@carpenter-jensen.com,Port Tanyaview,UK
51aab656-affa-4460-957c-c0f1f0199daf,05-08-2023,June,2024,4914.32,West,Electronics,0.0,Credit Card,Matthew Rios,nbecker@gmail.com,Josephmouth,Canada
810a371d-4ade-403f-9d02-5fd43aedc169,31-01-2024,September,2023,1173.22,North,Groceries,0.0,PayPal,Matthew Hicks,kevinbentley@yahoo.com,Port Amanda,Canada
b786ebd2-4f19-4101-8bfd-fe3a31d48ff9,05-12-2024,December,2024,3607.27,South,Groceries,15.0,PayPal,Joe Vasquez,debra21@jensen-mahoney.com,Ritterfurt,USA
8bd9610d-5e48-484b-bd81-38495f404958,23-11-2024,June,2023,1724.37,West,Electronics,0.0,PayPal,Patricia Meyers,jared06@osborne.biz,North Deborah,UK
dd742857-f0c4-4074-be37-0aed2b229c97,08-07-2024,December,2023,1458.8,East,Furniture,15.0,Debit Card,Zachary Reilly,michaelclark@hotmail.com,New Brandonfort,UK
71df2012-786b-4301-bab6-afe952acd6e2,17-04-2023,August,2024,345.29,North,Clothing,15.0,PayPal,Andrea Gillespie,weaverjeremy@matthews.info,East Jonathan,USA
85afd4e7-7b1d-498a-8254-225f2b4c57ce,27-12-2023,January,2023,2728.59,South,Furniture,15.0,PayPal,Tiffany Gray,tiffanyhill@elliott.info,Johnsonhaven,UK
a41b27f4-b5cc-4f45-a785-ed4ec45606f7,06-01-2024,May,2024,1377.44,East,Furniture,20.0,Cash,Carla Griffith,adammurphy@hotmail.com,Brownhaven,Canada
67919ab9-6f63-42ea-8e85-b2810e9f504a,08-03-2024,August,2024,1155.11,South,Groceries,5.0,Debit Card,Brian George,howardwilliam@daugherty-johnson.net,North Michaelchester,Canada
5c1d98d0-691f-4b77-9f6f-520171191b26,11-03-2024,September,2023,1993.06,South,Furniture,5.0,Debit Card,Randall Brown,tylermccarthy@hotmail.com,Port Heather,USA
e9d2f25b-55d6-4343-a049-b04ff0a0c9e8,28-09-2023,August,2023,237.79,South,Groceries,15.0,Cash,Debra Bullock,madeline41@gmail.com,Weberton,USA
64ba3a1f-23d9-4137-b080-d9a90e322242,24-06-2023,January,2023,2196.91,North,Electronics,20.0,Debit Card,Kevin Mcintosh,pattersondavid@yahoo.com,Lake Kenneth,Australia
95629cb4-bd94-4021-8f87-851d97877787,20-01-2025,November,2023,4035.23,South,Electronics,5.0,Cash,Luke Braun,townsendpatty@buchanan.org,Port Robinstad,Australia
a0cc241e-cb24-417b-9280-99d4354c8a26,05-12-2024,January,2024,1365.73,South,Clothing,0.0,Debit Card,Annette Richard DDS,brichards@peters-schroeder.com,Isaacburgh,USA
21183b3b-4d03-4ce9-abbc-7a36d1956327,04-04-2024,October,2024,104.75,South,Furniture,15.0,Credit Card,Paul Francis,ochoacharles@gmail.com,Elizabethton,Australia
6322fa5e-8c95-4eeb-a955-a8cb5bfb1cfa,02-03-2024,April,2023,232.48,South,Groceries,10.0,Credit Card,Michelle Ward,morganmisty@yahoo.com,Jenniferberg,USA
f6c55c07-a5f7-4637-87bf-1fea674f6bae,02-07-2024,May,2023,2797.96,East,Clothing,15.0,Debit Card,Amy Lee,pricejordan@hotmail.com,Meganmouth,Canada
116185c4-0949-42f6-984b-152240799a08,04-05-2024,July,2023,690.95,North,Clothing,0.0,Cash,Colton Garza,ovega@hotmail.com,Leeville,UK
4375e98b-4561-4900-a0fe-bea848b48746,03-07-2024,December,2023,2574.1,West,Clothing,5.0,Debit Card,Madison Butler,aaronshields@shepard.biz,New Edwardmouth,Australia
52f573bc-b3f2-4046-a73f-113bb41abe82,23-01-2025,July,2024,1434.17,South,Groceries,5.0,PayPal,Terry Sandoval,ljohnson@yahoo.com,Harristown,UK
ddc837fe-085a-43dd-b8e0-b3607dce6edf,19-01-2025,April,2024,816.72,West,Groceries,0.0,Cash,Jessica Brown,amandasmith@coleman.com,Kennethview,Australia
1e442a81-d7a4-4994-872e-c3662e138321,07-12-2024,December,2024,2870.35,West,Electronics,5.0,Cash,Heidi Burton,jasonsullivan@gmail.com,Jorgeton,Canada
67a6f3d4-844c-4f3d-adb9-d59facf81994,29-09-2023,June,2023,798.44,East,Groceries,20.0,Cash,Jay Sullivan,deanna77@hotmail.com,South William,Australia
f79f6b04-9b3a-421a-9ec0-cdb5878b4d24,01-06-2023,May,2023,4829.75,West,Groceries,15.0,Cash,Travis Stewart,brianbarnes@abbott-reyes.com,New Emily,Australia
05fb50c6-3e19-4c37-be4b-bf674d304d55,14-09-2024,September,2024,2661.72,North,Electronics,0.0,Credit Card,Andrew Jimenez,donald67@schmidt.com,Port Lauraton,Canada
9f211f23-d385-4a27-a5a6-99396a7d5248,05-07-2023,September,2023,3003.37,North,Furniture,10.0,Credit Card,Zachary Hayes,evelyn57@contreras-tran.com,Bakertown,UK
c14edd98-82b5-46cd-8179-a5f890dbcc0c,27-08-2023,December,2023,2466.53,North,Clothing,20.0,Credit Card,Jenny Fox,karen02@hicks-carlson.com,West Angelamouth,USA
aa134165-b84f-46ff-b302-91809c3d02ba,20-10-2024,October,2024,3456.78,South,Clothing,15.0,PayPal,Ryan Lopez,lisaflores@bean.net,North Brandon,Canada
3c6d16e5-1c24-4a9b-ae53-18a67ec76a18,05-10-2023,December,2024,1365.18,West,Electronics,10.0,PayPal,Justin Robinson,gjones@hotmail.com,Powersborough,USA
f6a10497-451c-4513-a131-b72d86f2bc81,19-09-2023,July,2023,1760.64,North,Clothing,5.0,Debit Card,David Kelly,rachelparker@hotmail.com,Kimberlyland,UK
e0beb593-437b-41a1-8b9a-69ca39b09564,29-11-2024,March,2023,1422.59,North,Electronics,20.0,Cash,Heather Jordan,cynthiaharris@wilson.net,Jenniferfort,USA
4ade7adf-ce36-472c-9748-9812659fa9ec,28-11-2023,August,2023,3818.57,South,Furniture,0.0,Debit Card,Melissa Johnson,byrdjohn@nguyen.info,New Mark,USA
